type,objective,category,weight,Ameliorer les varietes,Sensibilisation de la population sur les valeurs nutritionnels,Renforcement equipements ,Formateurs acteurs,Plaidoyer gouvernement PNDF,Creation cadre de concertation,Plan d'affaires et finanacement,Mecanisation operations culturales,Actualisation des itk
weight,Priority Weights,,,,,,,,,,,
score,Ameliorer le revenu,impact,16,39,45,43,45,45,43,45,43,45
score,Ameliorer la nutrition,impact,16,33,45,44,45,43,45,45,45,45
score,Reduire la penibilite,feasibility,16,9,17,45,45,37,41,45,45,45
score,Equitabilite de la chaine,feasibility,16,19,17,19,10,13,44,35,20,20
score,Preservation des ressources naturelles,impact,16,30,34,35,45,38,43,42,32,45
score,Genre et inclusion sociale,feasibility,16,25,28,43,43,43,45,45,45,45
