type,objective,category,weight,Ameliorer les varietes,Sensibilisation de la population sur les valeurs nutritionnels,Renforcement equipements ,Formateurs acteurs,Plaidoyer gouvernement PNDF,Creation cadre de concertation,Plan d'affaires et finanacement,Mecanisation operations culturales,Actualisation des itk
weight,Priority Weights,,,,,,,,,,,
score,Ameliorer le revenu,impact,16,49,49,51,51,42,42,47,51,51
score,Ameliorer la nutrition,impact,16,40,48,47,43,36,30,38,40,42
score,Reduire la penibilite,feasibility,16,19,15,51,42,25,15,34,51,39
score,Equitabilite de la chaine,feasibility,16,15,33,43,42,42,40,27,44,40
score,Preservation des ressources naturelles,impact,16,14,30,47,49,31,47,33,30,49
score,Genre et inclusion sociale,feasibility,16,43,26,41,35,46,39,28,42,29
