type,objective,category,weight,Policy awareness,Public awarness,Agroecology,Capacity building,Improved varieties,Business & credit,Infrastructure,Storage
weight,Priority Weights,,,,,,,,,,
score,Income & livelihoods,impact,16,27,39,39,39,39,39,39,39
score,Nutrition & health,impact,16,30,39,39,38,39,27,32,39
score,Equity,impact,16,26,38,37,35,29,33,26,24
score,Ecology,impact,16,35,20,39,38,16,20,26,16
score,Conflict ,feasibility,16,39,13,20,24,13,20,26,15
score,Stakeholders agency,feasibility,16,27,32,36,36,24,22,19,13
